60%-1,,60%-2,,60%-3,,80%-1,,80%-2,,80%-3,,100%-1,,100%-2,,100%-3,,
波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,
777.0102539,0.6090142131,777.0102539,0.7053777575,777.0102539,0.6966770291,777.0102539,0.9232196212,777.0102539,0.9399149418,777.0102539,0.9479725361,777.0102539,1.095861197,777.0102539,1.108751297,777.0102539,1.14131856,
775.9960938,0.6125581861,775.9960938,0.7079142928,775.9960938,0.6982088685,775.9960938,0.9300758839,775.9960938,0.9379110932,775.9960938,0.9376689196,775.9960938,1.09585011,775.9960938,1.116252899,775.9960938,1.137084842,
775.0164795,0.6111435294,775.0164795,0.7102304101,775.0164795,0.7011991739,775.0164795,0.9216976762,775.0164795,0.9388287663,775.0164795,0.9439523816,775.0164795,1.104033351,775.0164795,1.10864377,775.0164795,1.143690944,
774.0015259,0.6141248345,774.0015259,0.7065058947,774.0015259,0.7093938589,774.0015259,0.9249178767,774.0015259,0.9455271959,774.0015259,0.9507040977,774.0015259,1.103940248,774.0015259,1.112715244,774.0015259,1.140233636,
772.9862061,0.6143670678,772.9862061,0.710863173,772.9862061,0.7097170949,772.9862061,0.9259538651,772.9862061,0.9461907744,772.9862061,0.9502722621,772.9862061,1.112123847,772.9862061,1.117159367,772.9862061,1.145234108,
772.0054932,0.6198807359,772.0054932,0.7154662013,772.0054932,0.7120772004,772.0054932,0.9380722046,772.0054932,0.9514726996,772.0054932,0.9496119022,772.0054932,1.120727658,772.0054932,1.12409997,772.0054932,1.14797163,
770.9893799,0.6190617681,770.9893799,0.71546942,770.9893799,0.7128353715,770.9893799,0.9361967444,770.9893799,0.9481716752,770.9893799,0.9599801898,770.9893799,1.110058308,770.9893799,1.124716759,770.9893799,1.155020118,
770.0079346,0.619636476,770.0079346,0.7201579213,770.0079346,0.7155582309,770.0079346,0.9320072532,770.0079346,0.9528623223,770.0079346,0.9589774013,770.0079346,1.108488321,770.0079346,1.128636003,770.0079346,1.144112706,
768.9910278,0.6189328432,768.9910278,0.7164285183,768.9910278,0.715765357,768.9910278,0.9378270507,768.9910278,0.9582769275,768.9910278,0.9606113434,768.9910278,1.122272015,768.9910278,1.124450326,768.9910278,1.158136487,
768.0088501,0.6230045557,768.0088501,0.7192994356,768.0088501,0.720785141,768.0088501,0.9445927143,768.0088501,0.9602617025,768.0088501,0.965333581,768.0088501,1.114801764,768.0088501,1.127857327,768.0088501,1.159299135,
766.991272,0.6223826408,766.991272,0.7242513895,766.991272,0.7238515615,766.991272,0.9454254508,766.991272,0.9639476538,766.991272,0.9637658,766.991272,1.122567654,766.991272,1.123376966,766.991272,1.16063118,
766.0083008,0.6258995533,766.0083008,0.730420053,766.0083008,0.7233806849,766.0083008,0.9471060634,766.0083008,0.9576879144,766.0083008,0.97018677,766.0083008,1.125403762,766.0083008,1.130951524,766.0083008,1.152113199,
764.9899292,0.6306191683,764.9899292,0.7309045792,764.9899292,0.7258386612,764.9899292,0.9535781741,764.9899292,0.967646718,764.9899292,0.9742546082,764.9899292,1.12937963,764.9899292,1.135378957,764.9899292,1.163241744,
764.0062866,0.6288086772,764.0062866,0.7288096547,764.0062866,0.7248750925,764.0062866,0.9507332444,764.0062866,0.966997087,764.0062866,0.9721825719,764.0062866,1.135096431,764.0062866,1.147842884,764.0062866,1.16505301,
762.9870605,0.634370923,762.9870605,0.7333871126,762.9870605,0.7309635282,762.9870605,0.9540736675,762.9870605,0.9710580707,762.9870605,0.9735609293,762.9870605,1.12789011,762.9870605,1.146081328,762.9870605,1.167213678,
