60%-3,,80%-3,,100%-3,,
²¨³¤ (nm),Abs,²¨³¤ (nm),Abs,²¨³¤ (nm),Abs,
760.9827881,0.7197523713,760.9827881,0.9632915258,760.9827881,1.171290278,
759.9976196,0.7186652422,759.9976196,0.9701813459,759.9976196,1.186279893,
759.012146,0.7193405628,759.012146,0.9676653743,759.012146,1.183317542,
757.9910889,0.7213816643,757.9910889,0.9778610468,757.9910889,1.191232324,
757.0048218,0.7258169055,757.0048218,0.9745056629,757.0048218,1.188653827,
755.9830933,0.7292115688,755.9830933,0.9815322161,755.9830933,1.187406778,
754.9960938,0.7299994826,754.9960938,0.9806984663,754.9960938,1.19981575,
754.0087891,0.7312823534,754.0087891,0.9789891839,754.0087891,1.202396393,
752.9859619,0.7345817685,752.9859619,0.9828366637,752.9859619,1.200887322,
751.9978638,0.736574173,751.9978638,0.9896620512,751.9978638,1.212291002,
751.0095825,0.7370982766,751.0095825,0.9901454449,751.0095825,1.205411196,
749.9854736,0.7399796247,749.9854736,0.9958832264,749.9854736,1.211753964,
748.9963989,0.7446641922,748.9963989,0.9920021296,748.9963989,1.216917753,
748.006958,0.7448658347,748.006958,0.9981997609,748.006958,1.218814015,
747.0170898,0.749007225,747.0170898,1.004255295,747.0170898,1.216864586,
745.9916382,0.7529714108,745.9916382,1.008354664,745.9916382,1.213899493,
745.0010986,0.7527968884,745.0010986,1.006131768,745.0010986,1.229479909,
744.0101929,0.7553923726,744.0101929,1.012752056,744.0101929,1.226463079,
742.9835815,0.7586260438,742.9835815,1.017087698,742.9835815,1.227686405,
741.9920044,0.7626051903,741.9920044,1.020908475,741.9920044,1.235329628,
741,0.7616946697,741,1.025033116,741,1.243852139,
740.0078125,0.7660188675,740.0078125,1.023551464,740.0078125,1.238540053,
739.0151367,0.7684208155,739.0151367,1.029894233,739.0151367,1.243685126,
737.9866943,0.7713539004,737.9866943,1.034314871,737.9866943,1.249285817,
736.9933472,0.7752971649,736.9933472,1.037964582,736.9933472,1.250312328,
735.9996338,0.7771062851,735.9996338,1.03597331,735.9996338,1.254860759,
735.0056152,0.7814525366,735.0056152,1.043647647,735.0056152,1.263843894,
734.0111694,0.7806075215,734.0111694,1.046170712,734.0111694,1.263474941,
733.0164185,0.7865422368,733.0164185,1.048359036,733.0164185,1.270189404,
731.9858398,0.7894792557,731.9858398,1.052172899,731.9858398,1.274793029,
730.9904175,0.7913475037,730.9904175,1.059794307,730.9904175,1.280606985,
729.9946289,0.7961865664,729.9946289,1.058920264,729.9946289,1.281890273,
728.9984741,0.7996166348,728.9984741,1.067191005,728.9984741,1.282022715,
728.0020142,0.8031557202,728.0020142,1.066808581,728.0020142,1.284006357,
727.005188,0.8067159057,727.005188,1.074534774,727.005188,1.301219463,
726.0079956,0.8086318374,726.0079956,1.074893355,726.0079956,1.294268966,
725.0105591,0.8120512962,725.0105591,1.08027029,725.0105591,1.300620198,
724.0126953,0.8156727552,724.0126953,1.085467577,724.0126953,1.310283899,
723.0145264,0.8197840452,723.0145264,1.09263289,723.0145264,1.311212659,
722.0159912,0.8225049376,722.0159912,1.098015308,722.0159912,1.31743443,
721.0171509,0.8262700438,721.0171509,1.104008436,721.0171509,1.32519412,
719.9821777,0.8313106894,719.9821777,1.105484247,719.9821777,1.338004827,
718.982605,0.8345543146,718.982605,1.108347535,718.982605,1.33628726,
717.9827881,0.8384884596,717.9827881,1.116272807,717.9827881,1.343373418,
716.9824829,0.8459923267,716.9824829,1.122423887,716.9824829,1.35331583,
716.0176392,0.8483133912,716.0176392,1.128509521,716.0176392,1.356729269,
715.0167236,0.8543510437,715.0167236,1.132642388,715.0167236,1.365209103,
714.0155029,0.8567593694,714.0155029,1.140480995,714.0155029,1.361640334,
713.013916,0.8650464416,713.013916,1.142857552,713.013916,1.36933589,
712.0120239,0.8682715893,712.0120239,1.158127069,712.0120239,1.377760887,
711.0097656,0.8738175631,711.0097656,1.159514785,711.0097656,1.387726784,
710.0072021,0.8801581264,710.0072021,1.167103291,710.0072021,1.400135159,
709.0042114,0.8898645639,709.0042114,1.17327714,709.0042114,1.4070822,
708.0009766,0.8932930827,708.0009766,1.183448672,708.0009766,1.409572721,
706.9973755,0.9004615545,706.9973755,1.1921736,706.9973755,1.427722216,
