7942 60%-1,,7942 60%-2,,60%-3,,7942 80%-1,,7942 80%-2,,80%-3,,7942 100%-1,,7942 100%-2,,100%-3,
波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs
745.0010986,0.775227487,745.0010986,0.785813689,745.0010986,0.752796888,745.0010986,1.024062395,745.0010986,1.026249886,745.0010986,1.006131768,745.0010986,1.21939683,745.0010986,1.219349742,745.0010986,1.229479909
744.0101929,0.778443337,744.0101929,0.791168332,744.0101929,0.755392373,744.0101929,1.022893071,744.0101929,1.029478669,744.0101929,1.012752056,744.0101929,1.22315228,744.0101929,1.222340941,744.0101929,1.226463079
742.9835815,0.783257306,742.9835815,0.792992592,742.9835815,0.758626044,742.9835815,1.026883125,742.9835815,1.028262377,742.9835815,1.017087698,742.9835815,1.221372008,742.9835815,1.231584549,742.9835815,1.227686405
741.9920044,0.784504056,741.9920044,0.798923194,741.9920044,0.76260519,741.9920044,1.029642344,741.9920044,1.035519004,741.9920044,1.020908475,741.9920044,1.223127842,741.9920044,1.23353231,741.9920044,1.235329628
741,0.784521937,741,0.799841881,741,0.76169467,741,1.036181808,741,1.038980246,741,1.025033116,741,1.237602234,741,1.240115047,741,1.243852139
740.0078125,0.789168894,740.0078125,0.803078353,740.0078125,0.766018868,740.0078125,1.039882779,740.0078125,1.041220069,740.0078125,1.023551464,740.0078125,1.241413832,740.0078125,1.236878037,740.0078125,1.238540053
739.0151367,0.791973233,739.0151367,0.806150138,739.0151367,0.768420816,739.0151367,1.039859056,739.0151367,1.040549159,739.0151367,1.029894233,739.0151367,1.24390614,739.0151367,1.245176435,739.0151367,1.243685126
737.9866943,0.795699775,737.9866943,0.809543669,737.9866943,0.7713539,737.9866943,1.045400977,737.9866943,1.045554161,737.9866943,1.034314871,737.9866943,1.241758704,737.9866943,1.247700095,737.9866943,1.249285817
736.9933472,0.796834409,736.9933472,0.812761843,736.9933472,0.775297165,736.9933472,1.046874404,736.9933472,1.054323673,736.9933472,1.037964582,736.9933472,1.241903543,736.9933472,1.255247831,736.9933472,1.250312328
735.9996338,0.800486088,735.9996338,0.810602844,735.9996338,0.777106285,735.9996338,1.055510044,735.9996338,1.054900885,735.9996338,1.03597331,735.9996338,1.257456899,735.9996338,1.257190228,735.9996338,1.254860759
735.0056152,0.804931939,735.0056152,0.815246046,735.0056152,0.781452537,735.0056152,1.055156827,735.0056152,1.05845058,735.0056152,1.043647647,735.0056152,1.247369289,735.0056152,1.256819248,735.0056152,1.263843894
734.0111694,0.803716958,734.0111694,0.820815802,734.0111694,0.780607522,734.0111694,1.056086779,734.0111694,1.057248354,734.0111694,1.046170712,734.0111694,1.261336803,734.0111694,1.266726613,734.0111694,1.263474941
733.0164185,0.807793081,733.0164185,0.824785233,733.0164185,0.786542237,733.0164185,1.064143181,733.0164185,1.06687963,733.0164185,1.048359036,733.0164185,1.267397881,733.0164185,1.263877511,733.0164185,1.270189404
731.9858398,0.813254178,731.9858398,0.827642798,731.9858398,0.789479256,731.9858398,1.062391043,731.9858398,1.070308208,731.9858398,1.052172899,731.9858398,1.26658082,731.9858398,1.271137357,731.9858398,1.274793029
730.9904175,0.815657139,730.9904175,0.830015957,730.9904175,0.791347504,730.9904175,1.069297314,730.9904175,1.072760701,730.9904175,1.059794307,730.9904175,1.269475698,730.9904175,1.276215196,730.9904175,1.280606985
729.9946289,0.819122136,729.9946289,0.832910121,729.9946289,0.796186566,729.9946289,1.070256948,729.9946289,1.076205254,729.9946289,1.058920264,729.9946289,1.279197454,729.9946289,1.284371614,729.9946289,1.281890273
728.9984741,0.819895387,728.9984741,0.83507669,728.9984741,0.799616635,728.9984741,1.078031898,728.9984741,1.084655643,728.9984741,1.067191005,728.9984741,1.279803753,728.9984741,1.283656001,728.9984741,1.282022715
728.0020142,0.823171496,728.0020142,0.838954926,728.0020142,0.80315572,728.0020142,1.082801819,728.0020142,1.080822468,728.0020142,1.066808581,728.0020142,1.286445856,728.0020142,1.289485455,728.0020142,1.284006357
727.005188,0.827511787,727.005188,0.841260791,727.005188,0.806715906,727.005188,1.083419919,727.005188,1.090783596,727.005188,1.074534774,727.005188,1.286354303,727.005188,1.292657256,727.005188,1.301219463
726.0079956,0.833347678,726.0079956,0.844295979,726.0079956,0.808631837,726.0079956,1.089419723,726.0079956,1.092197537,726.0079956,1.074893355,726.0079956,1.291002989,726.0079956,1.297900915,726.0079956,1.294268966
725.0105591,0.833844841,725.0105591,0.84933418,725.0105591,0.812051296,725.0105591,1.09074223,725.0105591,1.095754266,725.0105591,1.08027029,725.0105591,1.299160361,725.0105591,1.304898024,725.0105591,1.300620198
724.0126953,0.838335097,724.0126953,0.853821099,724.0126953,0.815672755,724.0126953,1.098899245,724.0126953,1.103786349,724.0126953,1.085467577,724.0126953,1.297501445,724.0126953,1.301436901,724.0126953,1.310283899
723.0145264,0.841325402,723.0145264,0.856034398,723.0145264,0.819784045,723.0145264,1.102113724,723.0145264,1.10375917,723.0145264,1.09263289,723.0145264,1.305162668,723.0145264,1.31315279,723.0145264,1.311212659
722.0159912,0.84777987,722.0159912,0.86379981,722.0159912,0.822504938,722.0159912,1.104450107,722.0159912,1.109562516,722.0159912,1.098015308,722.0159912,1.315405011,722.0159912,1.318319559,722.0159912,1.31743443
721.0171509,0.852621198,721.0171509,0.868300617,721.0171509,0.826270044,721.0171509,1.113662958,721.0171509,1.121024966,721.0171509,1.104008436,721.0171509,1.321105361,721.0171509,1.318611622,721.0171509,1.32519412
719.9821777,0.856898367,719.9821777,0.870128512,719.9821777,0.831310689,719.9821777,1.121553659,719.9821777,1.12353766,719.9821777,1.105484247,719.9821777,1.324607849,719.9821777,1.328040481,719.9821777,1.338004827
718.982605,0.858147383,718.982605,0.875249147,718.982605,0.834554315,718.982605,1.121005058,718.982605,1.124723673,718.982605,1.108347535,718.982605,1.325053811,718.982605,1.335054755,718.982605,1.33628726
717.9827881,0.863361239,717.9827881,0.880716026,717.9827881,0.83848846,717.9827881,1.128765345,717.9827881,1.128153324,717.9827881,1.116272807,717.9827881,1.331010818,717.9827881,1.339334846,717.9827881,1.343373418
716.9824829,0.868932903,716.9824829,0.883153796,716.9824829,0.845992327,716.9824829,1.132081747,716.9824829,1.134733915,716.9824829,1.122423887,716.9824829,1.339855552,716.9824829,1.34583354,716.9824829,1.35331583
716.0176392,0.875499487,716.0176392,0.889655352,716.0176392,0.848313391,716.0176392,1.136562467,716.0176392,1.142972112,716.0176392,1.128509521,716.0176392,1.340072274,716.0176392,1.352558136,716.0176392,1.356729269
715.0167236,0.878922224,715.0167236,0.893631399,715.0167236,0.854351044,715.0167236,1.144162655,715.0167236,1.152181029,715.0167236,1.132642388,715.0167236,1.350927234,715.0167236,1.362454295,715.0167236,1.365209103
714.0155029,0.883776784,714.0155029,0.901268065,714.0155029,0.856759369,714.0155029,1.150369763,714.0155029,1.157549143,714.0155029,1.140480995,714.0155029,1.358605504,714.0155029,1.362438798,714.0155029,1.361640334
713.013916,0.889686227,713.013916,0.906522334,713.013916,0.865046442,713.013916,1.160296321,713.013916,1.15790236,713.013916,1.142857552,713.013916,1.368930578,713.013916,1.372729659,713.013916,1.36933589
712.0120239,0.895602226,712.0120239,0.912658215,712.0120239,0.868271589,712.0120239,1.168462873,712.0120239,1.160560012,712.0120239,1.158127069,712.0120239,1.367692351,712.0120239,1.381711483,712.0120239,1.377760887
711.0097656,0.901892841,711.0097656,0.91710037,711.0097656,0.873817563,711.0097656,1.171337605,711.0097656,1.176555753,711.0097656,1.159514785,711.0097656,1.376432776,711.0097656,1.386154652,711.0097656,1.387726784
710.0072021,0.907416225,710.0072021,0.923957169,710.0072021,0.880158126,710.0072021,1.180449009,710.0072021,1.183172464,710.0072021,1.167103291,710.0072021,1.381542444,710.0072021,1.391141176,710.0072021,1.400135159
709.0042114,0.913792551,709.0042114,0.929312408,709.0042114,0.889864564,709.0042114,1.189469337,709.0042114,1.185415745,709.0042114,1.17327714,709.0042114,1.395859838,709.0042114,1.397582889,709.0042114,1.4070822
708.0009766,0.919806063,708.0009766,0.936598718,708.0009766,0.893293083,708.0009766,1.193725824,708.0009766,1.204050541,708.0009766,1.183448672,708.0009766,1.4107939,708.0009766,1.416009545,708.0009766,1.409572721
706.9973755,0.929032326,706.9973755,0.945154131,706.9973755,0.900461555,706.9973755,1.207632303,706.9973755,1.212570429,706.9973755,1.1921736,706.9973755,1.415091157,706.9973755,1.412257314,706.9973755,1.427722216
705.9934082,0.938638747,705.9934082,0.952719986,705.9934082,0.910308778,705.9934082,1.213230968,705.9934082,1.216980457,705.9934082,1.197828174,705.9934082,1.425432682,705.9934082,1.426143646,705.9934082,1.435801983
704.9892578,0.94560045,704.9892578,0.964223623,704.9892578,0.919600844,704.9892578,1.220312119,704.9892578,1.232343197,704.9892578,1.218244672,704.9892578,1.437309265,704.9892578,1.444020867,704.9892578,1.448446155
703.9846802,0.954402387,703.9846802,0.970452309,703.9846802,0.927611351,703.9846802,1.234240055,703.9846802,1.244952321,703.9846802,1.223332644,703.9846802,1.443294287,703.9846802,1.454677463,703.9846802,1.45419538
703.015564,0.964237988,703.015564,0.983335912,703.015564,0.937857807,703.015564,1.24426055,703.015564,1.254762292,703.015564,1.244045258,703.015564,1.457280278,703.015564,1.467694283,703.015564,1.471637726
702.0103149,0.975879252,702.0103149,0.990650833,702.0103149,0.947830796,702.0103149,1.267918229,702.0103149,1.271055579,702.0103149,1.252882004,702.0103149,1.474905968,702.0103149,1.485087872,702.0103149,1.475860834
