7942 60%-1,,
²¨³¤ (nm),Abs,
719.9821777,0.8568983674,
718.982605,0.8581473827,
717.9827881,0.8633612394,
716.9824829,0.8689329028,
716.0176392,0.8754994869,
715.0167236,0.878922224,
714.0155029,0.8837767839,
713.013916,0.8896862268,
712.0120239,0.8956022263,
711.0097656,0.9018928409,
710.0072021,0.9074162245,
709.0042114,0.9137925506,
708.0009766,0.9198060632,
706.9973755,0.9290323257,
705.9934082,0.9386387467,
704.9892578,0.94560045,
703.9846802,0.9544023871,
703.015564,0.964237988,
702.0103149,0.975879252,
701.0047607,0.9865140319,
699.9989014,0.9965222478,
698.9926147,1.013405919,
697.9860229,1.026328325,
697.0150757,1.039046526,
696.0079346,1.058130264,
695.0003662,1.07623899,
693.9924927,1.090470672,
692.984314,1.114994526,
692.0118408,1.125129342,
691.0029907,1.147697568,
689.9937744,1.169695854,
688.984314,1.175394535,
688.010498,1.194433212,
687.0004272,1.206314445,
685.9899292,1.225538969,
685.0152588,1.240208745,
684.0041504,1.240995169,
682.9927979,1.23639226,
682.0171509,1.243059993,
681.005127,1.242357254,
679.9927979,1.23309195,
679.0162354,1.22030282,
678.0032349,1.215027452,
676.9898682,1.207904577,
676.0125122,1.197282553,
674.9985962,1.19037509,
673.984314,1.169656992,
673.0059204,1.172928333,
671.9909668,1.152554393,
671.012146,1.148019195,
669.996582,1.13306129,
669.0170288,1.119230866,
668.0009155,1.113596201,
666.984436,1.107842207,
666.0039673,1.093647957,
664.9869385,1.08427,
664.0059204,1.078704834,
662.9882202,1.072521806,
662.0065308,1.073485732,
660.9882813,1.069375753,
660.0060425,1.072845459,
658.9871216,1.069845319,
658.0042725,1.076200604,
656.9848022,1.084376931,
656.0013428,1.091554403,
655.0177002,1.092662215,
653.9973145,1.101765037,
653.0129395,1.110112786,
651.9919434,1.125894904,
651.0071411,1.133380413,
649.9854736,1.139042616,
649,1.153572798,
648.0142212,1.163174748,
646.9917603,1.176336646,
646.0054932,1.184540033,
644.9822998,1.195058823,
643.9954224,1.211352944,
643.0082397,1.214724541,
641.9841919,1.231071115,
640.99646,1.24384284,
640.0084839,1.246493578,
638.9835205,1.254812956,
637.994873,1.264202118,
637.0060425,1.269288182,
636.0169067,1.275477409,
634.9907837,1.280014992,
634.0010986,1.278835773,
633.0111084,1.281920791,
631.9840698,1.28520751,
630.9935913,1.278597713,
630.0026855,1.285886765,
629.0115967,1.28360498,
627.9834595,1.273209929,
626.9917603,1.277784586,
625.9998169,1.269204378,
625.0075684,1.264634728,
624.0151367,1.268207312,
622.9855347,1.256617904,
621.9924316,1.245876908,
620.9991455,1.24227488,
620.0054932,1.235170841,
619.0115967,1.226941943,
618.0174561,1.220359683,
616.986145,1.210029244,
615.9915161,1.208050132,
614.996521,1.192271709,
614.0012207,1.192600965,
613.0057373,1.180128098,
612.0099487,1.17464745,
611.0139771,1.164925337,
610.0175781,1.155543327,
608.9840698,1.149302959,
607.9871826,1.14086616,
606.9900513,1.138286233,
605.9926758,1.129018545,
604.9949951,1.126256585,
603.9970703,1.121430755,
602.9989014,1.116158009,
602.0003662,1.112163067,
601.001709,1.107654691,
600.0026855,1.105254054,
599.003418,1.102805376,
598.0039063,1.102178216,
597.0041504,1.097549915,
596.0040894,1.097475171,
595.0038452,1.09557879,
594.0032349,1.090048671,
593.0023804,1.092144012,
592.0012817,1.087138772,
591,1.087456703,
589.998291,1.083834171,
588.99646,1.083958507,
587.9943848,1.082382321,
586.9920044,1.081783414,
585.9892578,1.081887364,
584.9863892,1.081623554,
583.9832764,1.078707099,
583.0170288,1.077228308,
582.0133667,1.076402426,
581.0094604,1.071993947,
580.005249,1.074048638,
579.0009155,1.07343328,
577.9961548,1.069802284,
576.991272,1.070067644,
575.986084,1.068212032,
575.0178833,1.065911174,
574.012146,1.067052364,
