7120 60%-1,,7120 60%-2,,60%-3,,7120 80%-1,,7120 80%-2,,80%-3,,7120 100%-1,,7120 100%-2,,100%-3,
波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs
751.9978638,0.692947209,751.9978638,0.608049631,751.9978638,0.515355051,751.9978638,0.833607018,751.9978638,0.715055168,751.9978638,0.725910425,751.9978638,0.922403336,751.9978638,0.870295644,751.9978638,0.766889691
751.0095825,0.695233941,751.0095825,0.60866338,751.0095825,0.519123435,751.0095825,0.836288393,751.0095825,0.720478356,751.0095825,0.724255502,751.0095825,0.925140381,751.0095825,0.866351664,751.0095825,0.763203263
749.9854736,0.698179245,749.9854736,0.610930264,749.9854736,0.522273302,749.9854736,0.833850086,749.9854736,0.717098653,749.9854736,0.729345501,749.9854736,0.921231449,749.9854736,0.867612183,749.9854736,0.769589663
748.9963989,0.698974073,748.9963989,0.612059593,748.9963989,0.517871261,748.9963989,0.8391397,748.9963989,0.7210868,748.9963989,0.730771542,748.9963989,0.924301148,748.9963989,0.871233761,748.9963989,0.765183032
748.006958,0.700573683,748.006958,0.613674283,748.006958,0.521755636,748.006958,0.836872757,748.006958,0.722046197,748.006958,0.729468167,748.006958,0.921453595,748.006958,0.873712659,748.006958,0.772089303
747.0170898,0.698635459,747.0170898,0.613352478,747.0170898,0.521276236,747.0170898,0.840371311,747.0170898,0.722850084,747.0170898,0.729256272,747.0170898,0.92462182,747.0170898,0.877802968,747.0170898,0.77412504
745.9916382,0.700361788,745.9916382,0.617372453,745.9916382,0.521894932,745.9916382,0.841839016,745.9916382,0.722868145,745.9916382,0.733313501,745.9916382,0.927748203,745.9916382,0.875775635,745.9916382,0.769791246
745.0010986,0.703769922,745.0010986,0.615515471,745.0010986,0.521703243,745.0010986,0.843563259,745.0010986,0.726605535,745.0010986,0.735690594,745.0010986,0.927218914,745.0010986,0.878625453,745.0010986,0.772125602
744.0101929,0.706290484,744.0101929,0.616262615,744.0101929,0.525798798,744.0101929,0.841778457,744.0101929,0.725762248,744.0101929,0.733549953,744.0101929,0.931293488,744.0101929,0.876066208,744.0101929,0.774992347
742.9835815,0.705183744,742.9835815,0.619861782,742.9835815,0.524422526,742.9835815,0.846144021,742.9835815,0.730723381,742.9835815,0.734730721,742.9835815,0.935934067,742.9835815,0.881086409,742.9835815,0.777529478
