7942 60%-2,,7942 80%-1,,7942 80%-2,,7942 100%-1,,7942 100%-2,,
波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,
770.0079346,0.7320935726,770.0079346,0.9552007318,770.0079346,0.9529612064,770.0079346,1.149918795,770.0079346,1.142057657,
768.9910278,0.7322071791,768.9910278,0.9494977593,768.9910278,0.9582740068,768.9910278,1.147964478,768.9910278,1.144551396,
768.0088501,0.7365221977,768.0088501,0.9512377381,768.0088501,0.9613477588,768.0088501,1.15119791,768.0088501,1.146532416,
766.991272,0.7371163964,766.991272,0.9549673796,766.991272,0.9629049301,766.991272,1.1521281,766.991272,1.155173659,
766.0083008,0.7349234819,766.0083008,0.9577471018,766.0083008,0.9610593915,766.0083008,1.161352038,766.0083008,1.159885168,
764.9899292,0.7427031994,764.9899292,0.9662669897,764.9899292,0.9666559696,764.9899292,1.155005813,764.9899292,1.158118606,
764.0062866,0.7413879037,764.0062866,0.9656459689,764.0062866,0.9709210396,764.0062866,1.161207795,764.0062866,1.16265285,
762.9870605,0.7468854785,762.9870605,0.9675127864,762.9870605,0.9684676528,762.9870605,1.159137964,762.9870605,1.169184566,
762.0026855,0.7466633916,762.0026855,0.9750006795,762.0026855,0.9721170068,762.0026855,1.168687582,762.0026855,1.163387656,
760.9827881,0.7485570908,760.9827881,0.9687609076,760.9827881,0.9774859548,760.9827881,1.174876571,760.9827881,1.169505,
759.9976196,0.7529017329,759.9976196,0.9775178432,759.9976196,0.9835743904,759.9976196,1.169838071,759.9976196,1.177305222,
759.012146,0.7568311095,759.012146,0.9841045141,759.012146,0.9879021049,759.012146,1.177188277,759.012146,1.176138639,
757.9910889,0.7555479407,757.9910889,0.9804564118,757.9910889,0.9845158458,757.9910889,1.173269987,757.9910889,1.187919021,
757.0048218,0.7619411945,757.0048218,0.9837168455,757.0048218,0.982098937,757.0048218,1.181769729,757.0048218,1.179936886,
755.9830933,0.7599337101,755.9830933,0.985119462,755.9830933,0.9881390333,755.9830933,1.188734412,755.9830933,1.191368222,
754.9960938,0.7633169889,754.9960938,0.9862766266,754.9960938,0.9948483706,754.9960938,1.185690165,754.9960938,1.184745073,
754.0087891,0.7651724815,754.0087891,0.9945119023,754.0087891,0.9965499043,754.0087891,1.189782262,754.0087891,1.18526721,
752.9859619,0.7671185136,752.9859619,0.9964841604,752.9859619,1.001142263,752.9859619,1.188790798,752.9859619,1.194114685,
751.9978638,0.7732560039,751.9978638,0.9968693256,751.9978638,1.003116727,751.9978638,1.196907997,751.9978638,1.200502038,
751.0095825,0.7715210319,751.0095825,1.004681349,751.0095825,1.004112601,751.0095825,1.197285295,751.0095825,1.203587532,
749.9854736,0.7766952515,749.9854736,1.010170817,749.9854736,1.011689663,749.9854736,1.200159311,749.9854736,1.203687191,
748.9963989,0.7824800014,748.9963989,1.010557055,748.9963989,1.009310961,748.9963989,1.204034328,748.9963989,1.211129785,
748.006958,0.7801074982,748.006958,1.00911963,748.006958,1.01429534,748.006958,1.214908719,748.006958,1.218643188,
747.0170898,0.7840661407,747.0170898,1.013002992,747.0170898,1.012968659,747.0170898,1.20944953,747.0170898,1.219167471,
745.9916382,0.7872835994,745.9916382,1.016382694,745.9916382,1.022149563,745.9916382,1.227291107,745.9916382,1.218868613,
745.0010986,0.7858136892,745.0010986,1.024062395,745.0010986,1.026249886,745.0010986,1.21939683,745.0010986,1.219349742,
744.0101929,0.7911683321,744.0101929,1.022893071,744.0101929,1.029478669,744.0101929,1.22315228,744.0101929,1.222340941,
742.9835815,0.7929925919,742.9835815,1.026883125,742.9835815,1.028262377,742.9835815,1.221372008,742.9835815,1.231584549,
741.9920044,0.7989231944,741.9920044,1.029642344,741.9920044,1.035519004,741.9920044,1.223127842,741.9920044,1.23353231,
741,0.7998418808,741,1.036181808,741,1.038980246,741,1.237602234,741,1.240115047,
740.0078125,0.8030783534,740.0078125,1.039882779,740.0078125,1.041220069,740.0078125,1.241413832,740.0078125,1.236878037,
739.0151367,0.8061501384,739.0151367,1.039859056,739.0151367,1.040549159,739.0151367,1.24390614,739.0151367,1.245176435,
