60%-1,,60%-2,,60%-3,,80%-1,,80%-2,,80%-3,,100%-1,,100%-2,,100%-3,,
波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,
772.9862061,0.476048857,772.9862061,0.6006857753,772.9862061,0.6123979688,772.9862061,0.6812940836,772.9862061,0.6710857749,772.9862061,0.818862617,772.9862061,0.9881778955,772.9862061,1.017777205,772.9862061,0.8333926201,
772.0054932,0.4777455628,772.0054932,0.6059678197,772.0054932,0.6152220964,772.0054932,0.6804466844,772.0054932,0.6688132882,772.0054932,0.8218842149,772.0054932,0.9920904636,772.0054932,1.016545534,772.0054932,0.8332485557,
770.9893799,0.4782468379,770.9893799,0.6031947136,770.9893799,0.6159991622,770.9893799,0.6819735765,770.9893799,0.6729633808,770.9893799,0.8202834129,770.9893799,0.9866983294,770.9893799,1.023732662,770.9893799,0.8332389593,
770.0079346,0.4793280661,770.0079346,0.6030939221,770.0079346,0.6191090941,770.0079346,0.6860812902,770.0079346,0.674621582,770.0079346,0.8215277791,770.0079346,0.9960683584,770.0079346,1.017553091,770.0079346,0.8339228034,
768.9910278,0.4806902409,768.9910278,0.6037267447,768.9910278,0.6187303066,768.9910278,0.6837437749,768.9910278,0.6733619571,768.9910278,0.8221897483,768.9910278,0.9937347174,768.9910278,1.016207814,768.9910278,0.8360757828,
768.0088501,0.4783176482,768.0088501,0.6045070887,768.0088501,0.6156836748,768.0088501,0.6868510842,768.0088501,0.6727575064,768.0088501,0.8245704174,768.0088501,0.9944951534,768.0088501,1.017566204,768.0088501,0.8374761939,
766.991272,0.4812839925,766.991272,0.6060151458,766.991272,0.6174126267,766.991272,0.6845629811,766.991272,0.6745285392,766.991272,0.818585515,766.991272,0.9933370352,766.991272,1.015572548,766.991272,0.8390619159,
766.0083008,0.4793539345,766.0083008,0.6062658429,766.0083008,0.6199672818,766.0083008,0.6862953901,766.0083008,0.6713632941,766.0083008,0.8211494088,766.0083008,0.9968810678,766.0083008,1.021006107,766.0083008,0.8409179449,
764.9899292,0.4821283221,764.9899292,0.6062641144,764.9899292,0.6218429804,764.9899292,0.6889197826,764.9899292,0.6769194603,764.9899292,0.8291480541,764.9899292,0.9920550585,764.9899292,1.023938417,764.9899292,0.8416743875,
764.0062866,0.4836583138,764.0062866,0.6086134911,764.0062866,0.6212235689,764.0062866,0.688338697,764.0062866,0.6751793623,764.0062866,0.829474926,764.0062866,0.9930187464,764.0062866,1.020127177,764.0062866,0.8359521031,
762.9870605,0.4828737378,762.9870605,0.6082446575,762.9870605,0.6217517853,762.9870605,0.6880889535,762.9870605,0.6750371456,762.9870605,0.8271533251,762.9870605,0.9955049753,762.9870605,1.019963145,762.9870605,0.8366121054,
