60%-1,,60%-2,,60%-3,,80%-1,,80%-2,,80%-3,,100%-1,,100%-2,,100%-3,,
波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,
786.015564,0.6871297359,786.015564,0.6991253495,786.015564,0.6984478235,786.015564,0.9075807333,786.015564,0.9006096721,786.015564,0.9147979021,786.015564,1.095709205,786.015564,1.117458463,786.015564,1.10045743,
785.0048828,0.6868652105,785.0048828,0.7001356483,785.0048828,0.6977698207,785.0048828,0.9063062668,785.0048828,0.8988013864,785.0048828,0.9184470773,785.0048828,1.090424776,785.0048828,1.126437664,785.0048828,1.11678791,
783.9937744,0.6857581139,783.9937744,0.6967579126,783.9937744,0.7016659975,783.9937744,0.9088038802,783.9937744,0.8993669152,783.9937744,0.9180004597,783.9937744,1.092840672,783.9937744,1.131224155,783.9937744,1.100985646,
783.0172729,0.6916401982,783.0172729,0.7059890628,783.0172729,0.7073473334,783.0172729,0.9093065858,783.0172729,0.9036407471,783.0172729,0.9193040729,783.0172729,1.093845487,783.0172729,1.12327528,783.0172729,1.112650394,
782.0053711,0.6900262833,782.0053711,0.7036672235,782.0053711,0.7036343217,782.0053711,0.9161801934,782.0053711,0.9034036398,782.0053711,0.9153735638,782.0053711,1.104086876,782.0053711,1.133044839,782.0053711,1.114948392,
780.9931641,0.6956919432,780.9931641,0.7073902488,780.9931641,0.7125741839,780.9931641,0.9154344201,780.9931641,0.9103243351,780.9931641,0.9231674671,780.9931641,1.103452444,780.9931641,1.132851243,780.9931641,1.119901657,
780.0154419,0.6939685941,780.0154419,0.7108356953,780.0154419,0.7127296925,780.0154419,0.9136900902,780.0154419,0.9144880176,780.0154419,0.9247638583,780.0154419,1.106021285,780.0154419,1.1260221,780.0154419,1.119768381,
779.0025024,0.6969394088,779.0025024,0.7126521468,779.0025024,0.7142374516,779.0025024,0.9191825986,779.0025024,0.9155477881,779.0025024,0.9275509715,779.0025024,1.115581393,779.0025024,1.134806156,779.0025024,1.118830562,
777.9890747,0.7008841634,777.9890747,0.7130821347,777.9890747,0.7154559493,777.9890747,0.9221488237,777.9890747,0.9162127376,777.9890747,0.9235072136,777.9890747,1.115448713,777.9890747,1.145604014,777.9890747,1.126480222,
777.0102539,0.7039164901,777.0102539,0.7146044374,777.0102539,0.7180309296,777.0102539,0.9263707995,777.0102539,0.9232629538,777.0102539,0.9384759665,777.0102539,1.116928101,777.0102539,1.14408648,777.0102539,1.13444674,
775.9960938,0.7076224685,775.9960938,0.7174476981,775.9960938,0.7192508578,775.9960938,0.9267478585,775.9960938,0.9215403199,775.9960938,0.9380015731,775.9960938,1.123313665,775.9960938,1.146160126,775.9960938,1.131940961,
