H20,,60%-1,,60%-2,,60%-3,,80%-1,,80%-2,,80%-3,,100%-1,,100%-2,,100%-3,,
波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,
726.0079956,0.0009370208718,726.0079956,0.5519409776,726.0079956,0.6528686285,726.0079956,0.6387244463,726.0079956,0.9304953218,726.0079956,0.8912397027,726.0079956,0.897611618,726.0079956,1.094088435,726.0079956,1.254534245,726.0079956,1.145463109,
725.0105591,0.0007604703424,725.0105591,0.5541942716,725.0105591,0.6572061181,725.0105591,0.6410098672,725.0105591,0.9299455285,725.0105591,0.8930507898,725.0105591,0.9022267461,725.0105591,1.092305422,725.0105591,1.244917035,725.0105591,1.143017888,
724.0126953,0.0008758282638,724.0126953,0.555118978,724.0126953,0.6572208405,724.0126953,0.6423239112,724.0126953,0.9334285259,724.0126953,0.8961200714,724.0126953,0.9031427503,724.0126953,1.099392891,724.0126953,1.261686206,724.0126953,1.151233792,
723.0145264,0.0006916281418,723.0145264,0.5565361381,723.0145264,0.6589478254,723.0145264,0.6445281506,723.0145264,0.9364898801,723.0145264,0.8993142247,723.0145264,0.9073827267,723.0145264,1.099976659,723.0145264,1.257575631,723.0145264,1.147364259,
722.0159912,0.0007676015375,722.0159912,0.5587659478,722.0159912,0.6617913842,722.0159912,0.6456127763,722.0159912,0.9403645396,722.0159912,0.9025752544,722.0159912,0.9126417041,722.0159912,1.105325103,722.0159912,1.265237689,722.0159912,1.15290761,
721.0171509,0.0002757472103,721.0171509,0.5594260097,721.0171509,0.6611909866,721.0171509,0.6494531035,721.0171509,0.9436219335,721.0171509,0.9047416449,721.0171509,0.9132535458,721.0171509,1.108601332,721.0171509,1.271455407,721.0171509,1.156527519,
719.9821777,0.0007341767778,719.9821777,0.5607634187,719.9821777,0.6650540233,719.9821777,0.6520705223,719.9821777,0.9458441734,719.9821777,0.9104232192,719.9821777,0.9185577631,719.9821777,1.11483705,719.9821777,1.278776526,719.9821777,1.164158463,
718.982605,0.0009961205069,718.982605,0.5627398491,718.982605,0.6670948267,718.982605,0.6534453034,718.982605,0.9478984475,718.982605,0.9118238091,718.982605,0.9192605019,718.982605,1.121038198,718.982605,1.279372692,718.982605,1.167703867,
717.9827881,0.001002139878,717.9827881,0.5635948777,717.9827881,0.6706727743,717.9827881,0.6568276882,717.9827881,0.9517830014,717.9827881,0.9172711968,717.9827881,0.9226373434,717.9827881,1.117772579,717.9827881,1.284466982,717.9827881,1.175003767,
716.9824829,0.0008262371994,716.9824829,0.5674339533,716.9824829,0.6722096205,716.9824829,0.659506619,716.9824829,0.9582737684,716.9824829,0.917868793,716.9824829,0.9250224233,716.9824829,1.126246572,716.9824829,1.292834044,716.9824829,1.176030517,
716.0176392,0.0009663361707,716.0176392,0.5687654614,716.0176392,0.6743047237,716.0176392,0.6622214913,716.0176392,0.9606451392,716.0176392,0.9249529839,716.0176392,0.9294358492,716.0176392,1.131708503,716.0176392,1.294077158,716.0176392,1.185814857,
715.0167236,0.0009971064283,715.0167236,0.5703145266,715.0167236,0.6778196692,715.0167236,0.6631059647,715.0167236,0.9649927616,715.0167236,0.9282418489,715.0167236,0.9361776114,715.0167236,1.131088614,715.0167236,1.303944588,715.0167236,1.191866279,
714.0155029,0.0007841463084,714.0155029,0.5715286732,714.0155029,0.6806666255,714.0155029,0.6649020314,714.0155029,0.9695208073,714.0155029,0.9315729141,714.0155029,0.9400961399,714.0155029,1.138282537,714.0155029,1.309964657,714.0155029,1.192853928,
